region;municipality_up_name;municipality_down_name;settlement_name;settlement_name_sep;type;arctic;remote;special;suburb;pop_men;pop_women;pop_total;latitude;longitude;mun_oktmo;sett_oktmo;wage_average;social_share;kindergarden_salary;school_salary;culture_salary;housing_depreciation;emergency_housing;building_construction_space;families_improve;space_per_capita;dtp_deaths_norm;dtp_injury_norm;primary_avaiability;dentists;terapists;pediatricians;support_staff;comments_health_perc;aviation_sun;aviation_center;death_rate;natural_growth;sport_facilities;sport_halls;sport_pools;sport_stadiums;sport_gym;cinemas;libraries;theatres;culture_centers;catering;improving_facilities;disabled_transport;disabled_buildings;lighting;kindergardens_availability;certificate_fail;russian_oge;math_oge;russian_ege;math_ege_base;math_ege_plus;spendings_per_schoolar;additional_education;ecology_spending;ecology_projects;emissions_all;emissions_first;emissions_second;comments_eco_perc;ecology_polygon;investments_per_capita;retail_federal;loss_results;gain_results;unemployed;revenue_per_capita;profit_bt_per_capita;vacancies;grocery store_norm;pvz_norm;nomadic_education_primary;nomadic_education_main;nomadic_education_high;nomadic_ngo;nomadic_language;nomadic_support;nomadic_firms;2.1.2_healthcare_new;2.1.3_housing_new;2.1.4_sports_new;2.1.7_public_spaces_new;2.1.8_education_new;2.2.1_air_quality_new;2.3.5_suitability_indigenous_binary_new;2.7_crime_experience_binary_new
Республика Карелия;Калевальский муниципальный район;Калевальское городское поселение;пгт Калевала;пгт Калевала (Республика Карелия);пгт;TRUE;FALSE;ОНП;FALSE;1640;1886;3526;65.198963;31.18701;86609000;86609151051;2,62;41,7;2,54;2,48;1,84;36,54;20,83;2,77;9,36;38,50;0,00;1,42;1,0;0,85;0,57;0,57;15,60;0,69;1,0;0,0;21,1;-13,2;5,7;1,4;0,0;0,0;0,0;0,3;2,0;0,0;1,7;3,7;1793,8;0,0;80,0;71,4;60,2;0,0;3,9;3,6;63,2;4,2;55,4;0,01;74,9;1,6;0,0;294,0;1,9;0,0;14,53;0,0;0,2;1,0;6,5;60,0;18,4;470,3;-17,2;47,5;6,0;0,9;0,00;0,00;0,00;0,00;66,36;0,00;0,00;;;;;;;;
Архангельская область;Онежский муниципальный район;Городское поселение Малошуйское;рп Малошуйка;рп Малошуйка (Архангельская область);рп;TRUE;FALSE;ПНП;FALSE;947;1052;1999;63.707442;37.453802;11646000;11646000052;2,55;45,7;2,12;2,01;;;31,58;0,00;1,00;25,50;0,00;7,00;1,0;1,00;0,00;0,00;5,50;12,9;0,0;0,0;17,2;-9,2;0,5;1,0;0,0;0,0;0,5;0,0;0,5;0,0;0,5;1,0;0,0;;0,0;20,0;53,0;0,0;4,2;3,4;68,7;4,4;56,4;0,01;76,4;1,0;0,0;409,4;1,5;0,4;0;1,0;1,1;0,0;26,4;28,6;5,7;15,2;0,8;13,0;3,5;0,0;0,00;0,00;0,00;;;;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Кондинский муниципальный район;Городское поселение Междуреченский;пгт Междуреченский;пгт Междуреченский (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;FALSE;5149;5918;11067;59.586221;65.892344;71816000;71816160051;3,93;29,9;2,91;3,68;3,50;28,27;20,59;1,74;35,51;30,68;0,00;1,17;1,0;0,99;1,72;0,72;24,04;4,17;1,0;0,0;13,8;-4,0;1,2;1,0;0,0;0,1;0,4;0,1;0,3;0,0;0,1;1,2;4323,7;27,0;100,0;94,8;69,1;0,2;4,0;3,4;67,7;4,1;51,2;0,01;88,1;15,8;0,0;18907,6;1,4;67,5;15,15;0,0;79,4;1,0;5,8;7,0;12,5;54,4;8,2;61,5;4,8;1,3;0,00;0,00;0,00;0,36;0,00;29,37;0,29;2,3;2,9;2,9;2,9;2,9;3,5;0,8;0,3
Чукотский автономный округ;Анадырский муниципальный район;Городское поселение пгт Угольные Копи;пгт Угольные Копи;пгт Угольные Копи (Чукотский автономный округ);пгт;TRUE;TRUE;0;TRUE;1685;1547;3232;64.729163;177.711518;77603000;77603157051;3,95;13,7;3,63;4,46;4,14;23,41;0,00;0,77;8,04;22,27;0,00;0,31;1,0;0,62;0,93;0,31;12,69;7,59;1,0;0,0;13,4;-3,0;0,6;0,6;0,0;0,0;0,3;0,0;0,6;0,0;0,3;0,9;0,0;0,0;60,0;70,0;85,4;2,5;3,8;3,4;62,5;3,2;44,2;0,02;95,2;21,7;0,0;1067,7;1,4;0,1;3,45;0,0;7,4;0,0;68,6;213,6;3,4;29801,3;13361,9;186,5;4,6;0,9;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,9;1,9;3,0;2,1;3,0;3,2;0,7;0,4
Архангельская область;Устьянский муниципальный район;Городское поселение Октябрьское;рп Октябрьский;рп Октябрьский (Архангельская область);рп;FALSE;FALSE;ПНП;FALSE;4082;5055;9137;61.090974;43.177227;11554000;11554000051;3,04;38,1;1,94;2,91;;30,01;17,32;;;39,89;0,11;4,05;1,0;0,77;1,86;0,66;19,37;0;1,0;1,0;20,7;-12,0;0,7;0,1;0,1;0,1;0,1;0,1;0,2;0,0;0,1;1,3;;20,0;33,3;;80,5;0,5;4,0;3,5;72,7;4,3;60,2;0,01;75,6;0,3;0,0;2379,8;1,4;0,3;3,21;1,0;2,8;1,0;107,0;114,5;6,8;2263,9;-850,0;114,2;3,7;1,2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Архангельская область;Холмогорский муниципальный район;Холмогорское сельское поселение;село Холмогоры;село Холмогоры (Архангельская область);село;FALSE;FALSE;ОНП;FALSE;1517;1877;3394;64.227577;41.650179;11556000;11556000101;2,44;49,8;2,76;3,12;2,44;32,45;10,87;;2,36;5,37;0,00;1,18;1,0;1,18;1,18;0,59;29,17;9,79;0,0;0,0;22,3;-13,6;0,9;0,3;0,0;0,3;0,3;0,0;0,6;0,0;0,3;0,6;;;33,3;;18,9;0,6;4,1;3,5;72,0;4,3;54,8;0,01;6,6;0,3;0,0;244605592,8;1,2;0,1;5,56;0,0;0,7;1,0;6,3;8,1;14,8;162,2;-11,7;54,7;2,9;1,5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Саха (Якутия);Усть-Майский муниципальный район;Городское поселение Поселок Усть-Мая;пгт Усть-Мая;пгт Усть-Мая (Республика Саха (Якутия));пгт;FALSE;FALSE;ОНП;FALSE;1208;1332;2540;60.41575;134.540615;98654000;98654151051;3,98;16,9;2,22;3,24;3,24;71,69;30,16;6,29;3,54;27,99;0,00;0,39;1,0;0,39;2,36;1,18;27,17;0;1,0;0,0;11,1;-3,0;0,4;0,8;0,0;0,0;0,0;0,0;0,4;0,0;0,4;4,7;219,7;0,0;30,0;90,0;94,2;0,0;3,2;2,8;62,3;4,0;43,5;0,01;59,2;8,1;0,0;1311,1;1,2;1,4;16,67;1,0;5,9;0,0;5,0;394,6;12,6;78,4;-0,9;42,0;5,9;0,4;0,00;0,00;0,00;1,18;0,00;0,00;0,00;;;;;;;;
Республика Коми;Муниципальный район Сосногорск;Городское поселение Нижний Одес;пгт Нижний Одес;пгт Нижний Одес (Республика Коми);пгт;FALSE;FALSE;ПНП;FALSE;3444;3904;7348;63.6431317;54.8476804;87626000;87626159051;3,31;32,3;2,03;2,43;;19,58;0,00;0,02;3,54;24,85;0,00;1,63;1,0;0,27;0,27;0,27;6,12;6,35;0,0;0,0;15,9;-8,2;1,2;0,5;0,0;0,0;0,1;0,0;0,3;0,0;0,1;0,4;0,0;;;76,9;13,7;1,1;3,7;3,3;63,6;4,1;55,8;0,00;12,9;11,0;0,0;445,0;1,0;0,2;4,76;1,0;5,1;1,0;5,3;7,4;12,7;114,5;6,1;49,2;4,8;1,1;0,00;0,00;0,00;0,00;0,00;0,00;;2,2;2,3;3,5;2,6;2,7;3,9;0,8;0,3
Архангельская область;Виноградовский муниципальный район;Березниковское сельское поселение;посёлок Березник;посёлок Березник (Архангельская область);поселок;FALSE;FALSE;ОНП;FALSE;2654;2970;5624;62.850996;42.714283;11514000;11514000101;2,41;39,3;2,41;2,77;2,43;28,29;25,77;;;38,50;0,00;3,91;1,0;0,53;1,42;0,36;14,22;4,92;1,0;1,0;19,8;-9,0;0,4;0,0;0,0;0,2;0,0;0,0;0,5;0,0;0,4;0,9;;0,0;20,0;70,0;100,0;0,0;4,0;3,5;73,2;4,5;61,8;0,01;;0,3;0,0;557,2;0,9;0,4;6,15;0,0;1,8;1,0;5,3;26,8;9,3;463,8;6,6;33,2;5,2;1,2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,8;3,2;3,4;3,1;3,6;3,8;0,8;0,2
Республика Коми;Муниципальный район Усть-Цилемский;Сельское поселение Усть-Цильма;село Усть-Цильма;село Усть-Цильма (Республика Коми);село;TRUE;TRUE;ОНП;FALSE;2035;2296;4331;65.4424623;52.1544605;87652000;87652440101;2,65;47,8;2,42;2,95;;34,78;5,08;1,33;2,77;;0,00;3,46;1,0;1,15;1,39;0,92;24,01;10,53;1,0;0,0;17,5;-7,2;2,3;0,7;0,0;0,2;0,2;0,0;0,5;0,0;0,3;0,7;;0,0;;100,0;42,7;0,6;3,8;3,5;62,4;4,3;53,4;0,01;34,7;1,5;0,0;1162,3;0,9;0,1;9,21;1,0;0,7;1,0;1,2;3,8;16,1;87,6;10,6;94,2;2,8;1,8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Нижневартовский муниципальный район;Городское поселение Излучинск;пгт Излучинск;пгт Излучинск (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;TRUE;10331;11058;21389;60.953815;76.888522;71819000;71819153051;4,28;9,3;3,05;3,76;3,79;24,85;0,00;3,33;;16,20;0,09;0,42;1,0;0,28;0,75;0,33;6,78;7,23;1,0;0,0;7,6;1,1;0,6;0,5;0,3;0,0;0,2;0,0;0,1;0,0;0,0;0,5;332,5;0,0;30,0;23,2;81,3;0,0;4,0;3,5;70,2;4,4;59,4;0,01;89,5;90,7;0,0;15584,1;0,9;0,5;7,23;0,0;201,2;1,0;9,6;155,2;2,4;281,3;9,3;143,8;1,9;0,6;0,00;0,00;0,00;0,00;0,00;3,46;1,17;;;;;;;;
Республика Карелия;Сегежский муниципальный район;Надвоицкое городское поселение;пгт Надвоицы;пгт Надвоицы (Республика Карелия);пгт;TRUE;FALSE;ПНП;TRUE;2990;3080;6070;63.890971;34.261178;86545000;86545000052;2,75;39,5;2,41;2,29;1,52;51,62;36,03;0,00;0,00;29,98;0,00;1,48;1,0;0,33;0,49;0,33;2,97;7,12;0,0;0,0;19,3;-12,5;0,3;0,2;0,2;0,0;0,3;0,2;0,2;0,2;0,3;0,8;731,5;100,0;60,0;80,0;80,9;0,0;3,6;3,2;65,9;3,8;52,4;;83,7;8,8;0,0;11146,0;0,9;66,0;11,99;0,0;8,3;1,0;38,5;208,7;13,1;524,9;-10,3;97,7;3,6;0,7;0,00;0,00;0,00;0,49;0,00;0,00;0,16;;;;;;;;
Республика Саха (Якутия);Мирнинский муниципальный район;Городское поселение Поселок Айхал;пгт Айхал;пгт Айхал (Республика Саха (Якутия));пгт;FALSE;FALSE;ОНП;FALSE;6952;6418;13370;65.943181;111.500687;98631000;98631152051;5,43;13,9;;5,28;4,14;59,53;61,76;0,00;7,18;22,58;0,07;0,82;1,0;0,15;0,75;0,45;5,98;10;0,0;0,0;7,8;2,7;0,1;0,4;0,1;0,0;0,2;0,0;0,1;0,0;0,1;0,6;882,6;0,0;50,0;85,0;72,9;0,4;4,0;3,4;69,7;4,1;56,7;0,01;61,2;63,7;1,0;1877,6;0,9;3,1;13,33;0,0;19,0;1,0;16,1;1047,1;8,9;105,4;10,4;199,2;4,4;0,4;0,00;0,00;0,00;;;;;;;;;;;;
Республика Коми;Муниципальный район Усть-Вымский;Городское поселение Жешарт;пгт Жешарт;пгт Жешарт (Республика Коми);пгт;FALSE;FALSE;ПНП;FALSE;3139;3990;7129;62.087169;49.587353;87644000;87644155051;2,76;32,6;1,56;2,40;;19,45;14,72;0,79;4,21;31,85;0,42;5,33;1,0;0,14;0,56;0,56;6,59;2,07;1,0;0,0;17,3;-8,4;1,4;0,6;0,0;0,1;0,1;0,1;0,1;0,0;0,1;1,0;;0,0;;67,5;23,9;0,6;3,8;3,4;65,5;4,1;44,7;0,01;16,8;5,5;0,0;2166,8;0,8;40,6;10,33;0,0;2,3;1,0;5,0;51,3;9,5;1076,8;-83,7;128,8;3,1;0,8;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
Красноярский край;Эвенкийский муниципальный район;Сельское поселение село Ванавара;село Ванавара;село Ванавара (Красноярский край);село;FALSE;FALSE;ПНП;FALSE;;;2532;60.341233;102.288459;04650000;04650459101;4,69;11,3;4,47;5,50;4,46;28,43;2,38;0,76;9,08;33,44;0,00;2,76;1,0;0,39;1,18;1,18;15,80;16,67;1,0;1,0;12,6;2,0;0,0;1,2;0,0;0,0;0,4;0,0;0,8;0,0;0,4;0,4;0,0;0,0;29,9;43,2;79,6;0,2;3,7;3,5;62,5;4,5;56,7;0,01;65,8;34,9;0,0;472,0;0,8;2,4;0;1,0;212,5;0,0;13,7;76,7;6,6;2016,7;8,1;26,0;7,1;0,0;0,00;0,00;0,00;0,00;0,00;105,83;1,78;2,1;1,9;2,7;2,0;2,6;3,2;0,7;0,3
Ямало-Ненецкий автономный округ;Муниципальный округ Надымский район;Муниципальный округ Надымский район;пгт Пангоды;пгт Пангоды (Ямало-Ненецкий автономный округ);пгт;TRUE;FALSE;0;FALSE;5522;5610;11132;65.854522;74.493249;71936000;71936000056;6,91;13,1;4,33;5,22;4,81;30,11;13,91;1,02;14,64;20,75;0,00;0,27;1,0;0,54;0,72;0,45;5,21;5,0;0,0;0,0;4,7;6,3;0,0;0,4;0,2;0,0;0,3;0,1;0,1;0,0;0,2;1,3;1370,2;100,0;70,0;55,4;66,1;0,2;4,0;3,7;67,8;4,2;61,4;0,01;22,0;47,3;1,0;381,6;0,8;10,9;5,0;0,0;25,7;1,0;67,6;458,9;4,3;78,2;10,6;54,2;4,1;1,1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Мурманская область;Кольский муниципальный район;Городское поселение Мурмаши;пгт Мурмаши;пгт Мурмаши (Мурманская область);пгт;TRUE;FALSE;0;TRUE;4930;4638;9568;68.815719;32.809927;47605000;47605163051;4,27;9,20;2,85;3,41;2,78;21,01;1,77;0,00;4,18;22,43;0,00;1,67;1,0;0,31;0,63;0,31;3,6;4,17;0,0;1,0;15,6;-7,8;1,3;0,4;0,2;0,0;0,2;0,0;0,3;0,0;0,1;0,9;128,0;;90,0;97,0;100,0;0,0;3,9;3,7;69,0;4,3;58,91;0,0;20,2;15,4;1,0;1397,4;0,8;5,5;6,71;0,0;82,4;1,0;13,2;156,7;5,9;1130,8;216,1;150,2;3,4;1,3;1,00;1,00;1,00;0,00;0,00;0,00;0,0;;;;;;;;
Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Сельское поселение Мужевское;село Мужи;село Мужи (Ямало-Ненецкий автономный округ);село;TRUE;TRUE;0;FALSE;1772;1964;3736;65.395854;64.700146;71946000;71946000101;4,00;36,4;4,35;5,70;4,41;20,96;18,47;1,58;18,47;21,70;0,00;0,27;1,0;1,07;2,68;1,34;31,85;18,2;1,0;0,0;10,4;6,7;0,5;0,8;0,0;0,0;0,3;0,3;0,5;0,5;0,3;1,3;0,0;0,0;80,0;82,0;91,8;0,0;3,6;3,6;58,0;4,2;55,7;0,02;23,9;1,1;1,0;1011,1;0,8;1,4;0,0;0,0;0,6;0,0;10,1;12,7;8,3;153,5;10,9;63,7;3,2;0,8;0,00;0,00;0,00;0,27;43,90;511,52;1,43;;;;;;;;
Красноярский край;Эвенкийский муниципальный район;Сельское поселение село Байкит;село Байкит;село Байкит (Красноярский край);село;FALSE;FALSE;ПНП;FALSE;;;2933;61.68075899;96.3799635;04650000;04650405101;4,69;11,3;2,09;4,99;4,10;46,90;18,97;0,23;18,41;28,55;0,00;1,02;1,0;0,34;0,68;0,68;9,55;14,29;1,0;1,0;12,6;2,0;0,3;1,0;0,0;0,0;0,3;0,0;0,7;0,0;0,3;0,3;0,0;0,0;20,9;100,0;65,6;0,0;3,5;3,4;60,8;4,3;53,3;0,01;65,8;34,9;0,0;477,9;0,7;2,3;0;1,0;212,5;0,0;13,7;76,7;7,8;731,6;19,9;47,2;4,1;0,0;0,00;0,00;0,00;0,00;10,23;185,88;3,64;;;;;;;;
Ямало-Ненецкий автономный округ;Муниципальный округ Тазовский район;Муниципальный округ Тазовский район;село Гыда;село Гыда (Ямало-Ненецкий автономный округ);село;TRUE;TRUE;0;FALSE;1831;1779;3610;70.893333;78.485523;71943000;71943000116;5,45;6,6;4,28;5,03;5,89;13,56;0,00;3,44;4,43;8,33;0,00;1,39;1,0;0,28;0,28;0,28;4,71;0,0;1,0;0,0;7,8;12,5;0,8;1,4;0,0;0,0;0,3;0,3;0,8;0,0;0,8;0,3;0,0;;100,0;100,0;41,1;4,1;3,8;3,3;66,9;3,7;43,0;0,04;55,5;131,4;0,0;76,9;0,6;0,1;2,2;0,0;912,8;0,0;7,9;60,4;4,4;145,7;8,2;316,7;0,3;0,0;0,00;0,00;0,00;;137,67;;1,29;;;;;;;;
Республика Карелия;Сортавальский муниципальный район;Сортавальское городское поселение;пгт Хелюля;пгт Хелюля (Республика Карелия);пгт;FALSE;FALSE;ПНП;TRUE;832;1064;1896;61.747851;30.666912;86610000;86610000054;2,56;33,9;2,24;2,22;;19,30;25,14;19,62;3,16;38,47;0,00;1,05;1,0;;;;;23,08;1,0;1,0;18,5;-10,2;0,5;0,5;0,0;0,5;0,0;0,0;0,5;0,0;0,5;0,5;0,5;2,0;3,0;97,0;82,8;0,0;3,8;3,0;65,5;4,0;51,0;0,01;1,6;1,9;0,0;1071,6;0,6;1,0;16,48;0,0;0,8;1,0;31,2;79,8;6,7;7257,6;168,7;14,2;8,4;1,1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Саха (Якутия);Мирнинский муниципальный район;Городское поселение Поселок Чернышевский;пгт Чернышевский;пгт Чернышевский (Республика Саха (Якутия));пгт;FALSE;FALSE;ПНП;FALSE;1714;1768;3482;63.015747;112.464429;98631000;98631162051;5,43;13,9;;4,45;3,97;46,63;33,33;0,00;35,90;27,92;0,00;0,86;1,0;0,29;0,86;0,29;4,31;2,56;0,0;0,0;7,8;2,7;0,9;1,4;0,3;0,0;0,3;0,0;0,3;0,3;0,6;2,0;0,0;0,0;25,0;91,0;75,0;1,5;3,8;3,1;62,7;3,9;56,5;0,01;93,6;63,7;1,0;81,9;0,6;0,2;19,23;0,0;19,0;1,0;16,1;1047,1;12,9;66,7;16,4;9,2;1,7;0,3;0,00;0,00;0,00;;;;;;;;;;;;
Республика Коми;Муниципальный район Печора;Городское поселение Кожва;пгт Кожва;пгт Кожва (Республика Коми);пгт;FALSE;FALSE;ПНП;TRUE;817;988;1805;65.10691194;57.0459183;87620000;87620103051;3,84;27,9;2,46;2,81;;50,86;57,32;0,00;8,86;;1,11;8,86;1,0;0,55;0,55;0,55;8,31;1,71;0,0;0,0;17,8;-9,8;0,6;0,6;0,0;0,0;0,0;0,0;0,6;0,0;0,6;2,2;;;;100,0;3,9;1,1;4,0;3,4;65,4;4,3;40,3;0,01;1,2;6,5;0,0;5135,8;0,5;0,8;2,56;0,0;7,5;1,0;6,8;17,6;36,9;6741,4;1883,5;30,7;8,9;1,1;0,00;0,00;0,00;0,00;0,00;0,00;;2,7;3,6;3,6;3,4;3,3;3,8;1,0;0,3
Республика Коми;Муниципальный район Сысольский;Сельское поселение Визинга;село Визинга;село Визинга (Республика Коми);село;FALSE;FALSE;ОНП;FALSE;2846;3507;6353;61.0767565;50.0903728;87632000;87632410101;2,32;46,8;1,83;2,36;;60,64;16,98;2,26;0,16;28,08;0,47;3,62;1,0;0,94;1,73;0,79;20,93;25;0,0;0,0;19,2;-8,8;2,5;0,9;0,0;0,2;0,0;0,2;0,2;0,0;0,2;1,3;;;;81,1;53,0;0,5;3,8;3,4;66,9;4,4;54,0;0,01;24,0;3,2;0,0;964,0;0,5;1,4;15,56;1,0;0,7;1,0;0,8;21,1;14,4;267,9;4,6;82,2;2,4;0,8;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
Республика Коми;Муниципальный район Удорский;Городское поселение Благоево;пгт Благоево;пгт Благоево (Республика Коми);пгт;FALSE;TRUE;ПНП;FALSE;857;1061;1918;63.4227201;47.95721918;87640000;87640152051;2,40;44,5;2,35;2,30;;25,33;0,00;1,01;25,03;46,51;0,00;1,56;1,0;0,52;0,00;0,52;6,26;4,12;0,0;0,0;15,4;-7,5;4,2;1,0;0,0;0,5;0,0;0,0;0,5;0,0;0,5;1,0;0,0;;;;8,8;0,9;3,8;3,3;64,5;3,9;56,1;0,01;2,5;9,6;0,0;280,2;0,5;0,2;3,09;0,0;0,4;1,0;2,0;3,0;22,5;120,7;-14,4;23,8;3,1;1,0;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
Красноярский край;Таймырский Долгано-Ненецкий муниципальный район;Сельское поселение Хатанга;село Хатанга;село Хатанга (Красноярский край);село;TRUE;TRUE;ПНП;FALSE;;;2645;71.9802545;102.47615869;04653000;04653419101;5,65;8,7;5,18;5,99;3,81;49,80;9,38;0,00;10,21;20,97;0,76;0,76;1,0;0,76;1,51;0,76;11,72;5;1,0;1,0;10,4;1,9;0,8;1,9;0,0;0,0;1,5;0,0;0,4;0,0;0,8;1,1;0,0;0,0;20,0;63,9;77,2;3,7;3,5;3,3;53,1;4,0;49,1;0,02;80,0;21,9;0,5;964,8;0,5;0,4;5;1,0;138,0;0,0;61,8;13085,3;4,5;226,8;1,8;40,5;6,0;0,0;0,00;0,00;0,00;;115,69;79,04;4,28;;;;;;;;
Архангельская область;Котласский муниципальный район;Городское поселение Приводинское;рп Приводино;рп Приводино (Архангельская область);рп;FALSE;FALSE;ПНП;TRUE;1579;1582;3161;61.080735;46.501669;11527000;11527000052;3,30;41,4;2,22;2,72;2,63;28,06;14,81;0,35;9,49;36,04;0,00;1,90;0,5;0,00;0,32;0,00;5,38;0;0,0;0,0;16,8;-11,3;1,3;1,6;0,0;0,0;0,3;0,0;0,3;0,0;0,3;1,3;14495,7;0,0;0,0;57,0;75,0;0,3;3,8;3,4;72,5;4,5;64,9;0,05;71,9;2,5;0,0;88547,8;0,5;7,5;20;1,0;2,7;1,0;0,9;4,1;4,2;36,7;-2,8;17,5;2,5;1,6;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Саха (Якутия);Верхнеколымский муниципальный район;Городское поселение Поселок Зырянка;пгт Зырянка;пгт Зырянка (Республика Саха (Якутия));пгт;TRUE;FALSE;ОНП;FALSE;1183;1338;2521;65.734019;150.895285;98615000;98615151051;3,70;44,9;2,97;5,41;2,95;54,26;78,31;3,56;72,99;30,39;0,00;0,40;1,0;0,40;1,59;0,79;15,07;33,33;1,0;0,0;12,5;-2,6;0,4;0,8;0,0;0,0;0,0;0,0;0,8;0,4;0,4;0,4;0,4;0,0;90,0;100,0;100,0;0,0;3,3;3,2;26,0;3,5;9,6;;63,0;6,3;0,0;1174,0;0,4;0,4;0;1,0;0,8;1,0;0,6;102,3;15,1;1100,3;122,2;38,8;13,5;0,0;0,00;0,00;0,00;0,00;9,12;259,42;0,00;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Нефтеюганский муниципальный район;Сельское поселение Салым;посёлок Салым;посёлок Салым (Ханты-Мансийский автономный округ - Югра);поселок;FALSE;FALSE;0;FALSE;3807;3912;7719;60.069499;71.470325;71818000;71818405101;4,65;12,3;3,21;3,96;3,18;23,76;13,75;0,76;6,61;13,80;0,39;0,91;1,0;0,49;0,65;0,39;8,55;0;1,0;0,0;5,7;2,7;1,6;0,1;0,0;0,1;0,0;0,0;0,3;0,0;0,1;2,1;0,0;100,0;75,8;81,0;81,4;0,2;4,1;3,5;65,8;4,1;63,6;0,01;87,6;76,2;0,0;105,1;0,4;0,2;6,25;0,0;164,0;1,0;27,5;24,8;1,4;235,2;12,8;57,8;3,0;0,8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Чукотский автономный округ;Анадырский муниципальный район;Городское поселение пгт Беринговский;пгт Беринговский;пгт Беринговский (Чукотский автономный округ);пгт;TRUE;TRUE;0;FALSE;551;553;1104;63.061739;179.256137;77603000;77603159051;3,95;13,7;3,89;4,54;4,14;32,73;9,09;0,00;18,12;43,88;0,00;0,00;1,0;0,91;0,91;0,00;16,30;24,51;1,0;0,0;13,4;-3,0;0,9;1,8;0,9;0,0;0,9;0,0;1,8;0,0;0,9;1,8;683,9;;0,0;70,0;92,3;2,6;3,0;3,0;55,8;3,9;37,7;0,02;94,7;21,7;0,0;5913,9;0,4;1,0;7,84;0,0;7,4;0,0;68,6;213,6;14,5;8712,0;2882,4;18,2;7,2;0,0;0,00;0,00;0,00;0,00;22,64;;;;;;;;;;
Красноярский край;Мотыгинский муниципальный район;Городское поселение поселок Мотыгино;пгт Мотыгино;пгт Мотыгино (Красноярский край);пгт;FALSE;FALSE;ОНП;FALSE;2174;2376;4550;58.18316557;94.693225;04635000;04635151051;3,62;18;2,24;2,92;2,02;81,56;40,82;0,00;7,03;29,55;0,22;2,42;1,0;0,44;1,10;0,44;14,29;7,49;1,0;0,0;15,5;-3,8;0,9;0,7;0,0;0,0;0,2;0,0;0,4;0,2;0,2;0,7;0,0;0,0;0,0;66,9;86,0;0,0;3,4;3,5;61,9;2,7;58,7;0,01;10,2;15,2;0,0;994,5;0,4;0,0;7,05;1,0;15,0;0,0;1,2;1274,5;;583,3;20,7;;2,6;0,7;0,00;0,00;0,00;;;;;;;;;;;;
Красноярский край;Богучанский муниципальный район;Сельское поселение Таежнинский сельсовет;поселок Таежный;поселок Таежный (Красноярский край);поселок;FALSE;FALSE;ПНП;FALSE;3345;3372;6717;58.0736215;97.31178943;04609000;04609430101;3,23;26,8;2,21;3,47;;35,43;1,75;4,06;1,64;25,35;0,15;2,38;1,0;0,30;0,60;0,00;3,42;11,76;0,0;0,0;13,6;-4,4;1,2;0,6;0,4;0,0;0,3;0,0;0,1;0,0;0,1;0,4;0,0;0,0;100,0;100,0;65,4;2,1;3,1;3,0;61,2;;;0,00;64,7;2,7;0,0;926,1;0,4;0,4;11,76;0,0;5,2;1,0;153,9;108,8;;176,5;-27,5;;4,3;1,2;1,00;1,00;1,00;;;0,00;0,00;;;;;;;;
Мурманская область;Терский муниципальный район;Городское поселение Умба;пгт Умба;пгт Умба (Мурманская область);пгт;TRUE;FALSE;ОНП;FALSE;1839;2282;4121;66.68485;34.34391;47620000;47620151051;3,20;37,4;2,78;3,15;2,90;36,16;31,79;0,40;31,30;33,11;0,24;0,49;1,0;0,49;0,73;0,49;5,34;6,43;1,0;1,0;22,3;-16,3;0,5;0,0;0,0;0,0;0,2;0,0;0,7;0,0;0,5;1,2;0,0;0,0;4,9;100,0;86,7;0,0;3,8;3,6;67,1;4,1;54,5;0,01;47,5;4,5;1,0;1756,9;0,4;3,9;7,71;1,0;0,9;1,0;5,3;36,7;40,9;35,7;-5,8;28,0;6,6;2,2;1,00;1,00;1,00;0,24;0,00;0,00;0,00;;;;;;;;
